S.No.;Kullanim Amaci;Stok No.;"Malzemenin 
Ad?";Malzeme De?i?im Periyodu;"Ana 
Malzemesi";Ana Malzeme Miktar?-y;Araç Ba??na Kullan?m Miktar?-z;Yil Ici Istek Yapma Sayisi-k;"t y?l? ?stek Miktar?-04 istegi
c=b-a";t y?l? ?stek Miktar?-05 istegi-d;t y?l? ?stek Miktar?-06 istegi-e;"t+1 y?l? ?stek Miktar?-04 istegi
i";t+1 y?l? ?stek Miktar?-05 istegi-j;t+1 y?l? ?stek Miktar?-06 istegi-l;"Brl.
?htiyaç Miktar?
a=y*z";Depo Mevcudu-b;"Son ihtiyaç Miktar?
c=(b-a)+(b-?)+(e-j)+l";Birim Fiyati;Kaynak Ihtiyac Miktari
98; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-611-4020 - 2815016114020;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
99; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-612-9781 - 2815016129781;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
100; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-613-0559 - 2815016130559;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
101; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-613-1228 - 2815016131228;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
102; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-613-1384 - 2815016131384;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
103; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-600-2146 - 2815016002146;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
104; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-600-4680 - 2815016004680;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
105; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-601-2570 - 2815016012570;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
106; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-601-6296 - 2815016016296;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
107; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-601-6892 - 2815016016892;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
108; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-601-8659 - 2815016018659;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
